short_ref,full_ref,ref_id,study_id,context_raw,action_goals,system_orientation,local_global,experimental_manipulation,manipulation_category,positive_future,appraisal_possible,appraisal_probable,appraisal_controllable,sample_hope_min,sample_hope_max,sample_hope_m,sample_hope_sd,notes,dv_measurement,dv_min,dv_max,dv_mean,dv_sd,eff_min,eff_max,eff_mean,eff_sd,pub_type,study_design,data_type,n,age_m,female_prop,sample_type,Western,educated,industrialised,rich,individualism,looseness,tight_loose_dichotomous,uncertainty_avoidance,power_distance,year,country,gini,coc,democracy_index,regime_type,intractable_conflict,r,hope_type,dv_type,action_type,alignment,hope_n,hope_m,hope_sd,control_n,control_m,control_sd
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S1,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,6,4.29,1,,scale,1,6,2.63,1.47,1,6,4.13,0.95,published,experimental,correlational,288,38.32,55.20833333,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.19,Hope for social change,intentions,Conventional,Aligned,,,,,,
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S1,Climate change mitigation,Environmental protection,System challenging,Global,"2 x 2 manipulation of possibility (hope) vs impossibility (control), plus clear (controllable) or unclear (uncontrollable) pathways to change. Participants were randomly assigned to the possibility and clarity manipulations, under the heading of: “Is there a solution?” The text started with the possibility manipulation: “Recently, environmental experts have indicated that the ambitious targets needed to implement change in the form of environmental policies are a possibility/not a real possibility in the future. Model analysis suggests that it is possible/nearly impossible to achieve the 2°C climate target, with a likely chance, given the estimated 2020 emission level resulting from current implemented and planned policies.” The text continued with the clarity manipulation. For the clarity condition, it read: “The means to achieve this are very clear. ‘Strong determination by political actors and resolute and vocal public support for environmental policies will result in the positive projected outcomes. We have a clear understanding of the means needed to implement this change’ concluded a recent environmental report.” By contrast, for the lack of clarity condition, it was: “However, the means to achieve this are very unclear. ‘The shift from general commitments to concrete actions presents a major challenge, and it is unclear how to practically implement these changes’ concluded a recent environmental report.” Finally, we added the following sentence for the low possibility conditions only, in order to explain the perhaps rather unlikely combination of low possibility and high clarity: “Unfortunately, too many elements and external factors burden the process of reducing the heavy damage to the environment to the extent of almost impossibility’ concluded a recent environmental report.”",Possibility/impossibility of change vignette plus controllability component,1,1,,1,1,6,4.29,1,Averaged across clear/unclear IV as this was not central to the RQ or our meta-analysis,scale,1,6,2.63,1.47,1,6,4.13,0.95,published,experimental,experimental,288,38.32,55.20833333,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,146,2.525,1.445,142,2.735,1.49
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S2,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,7,5.05,1.16,,scale,1,7,3.1,1.73,1,7,5.29,1.21,published,experimental,correlational,238,36.32,44.53781513,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.21,Hope for social change,intentions,Conventional,Aligned,,,,,,
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S2,Climate change mitigation,Environmental protection,System challenging,Global,"After reading a text under the heading of “The problem of climate change”, we manipulated perceived possibility under the heading of: “Is there a solution?”, with the text for the high possibility condition being: “Even if the Trump administration withdraws from the agreement, it has little time to implement changes before the next presidential elections. Additionally, some states (California, Washington and New York) have pledged to implement the change in the form of environmental policies regardless of Trump’s decision. It is therefore still a real possibility to achieve the 2?°C climate target. It is not too late for things to change.” By contrast, in the low possibility condition the text read: “As the Trump administration withdraws from the agreement, it has time to implement changes before the next presidential elections. Even though some states (California, Washington and New York) have pledged to implement the change in the form of environmental policies regardless of Trump’s decision this is not enough --- the entire country needs to be on board. It is therefore nearly impossible to achieve the 2?°C climate target. It may already be too late for things to change.” ",Possibility/impossibility of change vignette,1,1,,,1,7,5.05,1.16,,scale,1,7,3.1,1.73,1,7,5.29,1.21,published,experimental,experimental,238,36.32,44.53781513,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,120,3.18,1.82,118,3.29,1.16
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S3,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,7,4.97,1.12,,scale,1,7,3.24,1.59,1,7,5.21,1.12,published,experimental,correlational,494,37.02,50.60728745,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.27,Hope for social change,intentions,Conventional,Aligned,,,,,,
van Zomeren et al. (2019),"van Zomeren, M., Pauls, I. L., & Cohen-Chen, S. (2019). Is hope good for motivating collective action in the context of climate change? Differentiating hope’s emotion- and problem-focused coping functions. Global Environmental Change, 58, 101915. https://doi.org/10.1016/j.gloenvcha.2019.04.003",1,S3,Climate change mitigation,Environmental protection,System challenging,Global,"After reading a text under the heading of “The problem of climate change”, we manipulated perceived possibility under the heading of: “Is there a solution?”, with the text for the high possibility condition being: “Even if the Trump administration withdraws from the agreement, it has little time to implement changes before the next presidential elections. Additionally, some states (California, Washington and New York) have pledged to implement the change in the form of environmental policies regardless of Trump’s decision. It is therefore still a real possibility to achieve the 2?°C climate target. It is not too late for things to change.” By contrast, in the low possibility condition the text read: “As the Trump administration withdraws from the agreement, it has time to implement changes before the next presidential elections. Even though some states (California, Washington and New York) have pledged to implement the change in the form of environmental policies regardless of Trump’s decision this is not enough --- the entire country needs to be on board. It is therefore nearly impossible to achieve the 2?°C climate target. It may already be too late for things to change.” ",Possibility/impossibility of change vignette,1,1,,,1,7,4.97,1.12,,scale,1,7,3.24,1.59,1,7,5.21,1.12,published,experimental,experimental,494,37.02,50.60728745,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,240,3.18,1.57,254,3.29,1.16
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S1,Privatisation to the local water board,Socioeconomic justice,System challenging,Local,,,,,,,0,1,0.231,0.261,Likelihood of discussing with others,scale,0,1,0.3525,0.3125,0,1,0.338,0.246,published,correlational,correlational,287,32,63,other convenience,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.179,State hope,intentions,Conventional,Aligned,,,,,,
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S1,Privatisation to the local water board,Socioeconomic justice,System challenging,Local,,,,,,,0,1,0.231,0.261,Likelihood of attending meeting,scale,0,1,0.2175,0.285,0,1,0.338,0.246,published,correlational,correlational,287,32,63,other convenience,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.102,State hope,intentions,Conventional,Aligned,,,,,,
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S1,Privatisation to the local water board,Socioeconomic justice,System challenging,Local,,,,,,,0,1,0.231,0.261,Likelihood of contacting officials,scale,0,1,0.2075,0.135,0,1,0.338,0.246,published,correlational,correlational,287,32,63,other convenience,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.152,State hope,intentions,Conventional,Aligned,,,,,,
Phoenix (2020),"Phoenix, D. L. (2020). Black hope floats: Racial emotion regulation and the uniquely motivating effects of hope on Black political participation. Journal of Social and Political Psychology, 8(2), 662–685. https://doi.org/10.5964/jspp.v8i2.847",2,S1,Privatisation to the local water board,Socioeconomic justice,System challenging,Local,,,,,,,0,1,0.231,0.261,Signed a letter,scale,0,1,0.32,0.4625,0,1,0.338,0.246,published,correlational,correlational,287,32,63,other convenience,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.221,State hope,behavioural measure,Conventional,Aligned,,,,,,
